id	source_file	target_entity	disposition	provenance
10mm_fmj	data/json/ascii_art/ammo/10mm.json	itype:id=10mm_fmj	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
12mm	data/json/ascii_art/ammo/12mm.json	itype:id=12mm	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
20x66_abstract	data/json/ascii_art/ammo/20x66mm.json	itype:abstract=20x66_abstract	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
20x66_beanbag	data/json/ascii_art/ammo/20x66mm.json	itype:id=20x66_beanbag	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
20x66_flare	data/json/ascii_art/ammo/20x66mm.json	itype:id=20x66_flare	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
20x66_inc	data/json/ascii_art/ammo/20x66mm.json	itype:id=20x66_inc	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
223	data/json/ascii_art/ammo/223.json	itype:id=223	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
22_blank	data/json/ascii_art/ammo/blank.json	itype:id=22_blank	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
22_cb	data/json/ascii_art/ammo/22.json	itype:id=22_cb	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
22_lr	data/json/ascii_art/ammo/22.json	itype:id=22_lr	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
22_ratshot	data/json/ascii_art/ammo/22.json	itype:id=22_ratshot	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
270win_jsp	data/json/ascii_art/ammo/270win.json	itype:id=270win_jsp	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
3006	data/json/ascii_art/ammo/3006.json	itype:id=3006	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
3006_incendiary	data/json/ascii_art/ammo/3006.json	itype:id=3006_incendiary	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
3006fmj	data/json/ascii_art/ammo/3006.json	itype:id=3006fmj	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
300_winmag	data/json/ascii_art/ammo/300.json	itype:id=300_winmag	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
